Entry	Entry Name	Gene Ontology IDs
A0AVI4	TM129_HUMAN	GO:0000209; GO:0005783; GO:0005789; GO:0006986; GO:0016021; GO:0016567; GO:0030433; GO:0030970; GO:0046872; GO:0061630
A0AVK6	E2F8_HUMAN	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0000987; GO:0001217; GO:0001227; GO:0001890; GO:0002040; GO:0003700; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0032466; GO:0032877; GO:0033301; GO:0042802; GO:0045944; GO:0048144; GO:0060707; GO:0060718; GO:0070365; GO:0090575; GO:1990837
A0AVT1	UBA6_HUMAN	GO:0004839; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006511; GO:0006974; GO:0007612; GO:0007626; GO:0016567; GO:0019780; GO:0021764; GO:0021766; GO:0032446; GO:0060996
A0FGR8	ESYT2_HUMAN	GO:0005509; GO:0005544; GO:0005789; GO:0005829; GO:0005886; GO:0005887; GO:0006869; GO:0006897; GO:0008429; GO:0016020; GO:0031210; GO:0031227; GO:0031234; GO:0035091; GO:0042802; GO:0044232; GO:0045296; GO:0061817; GO:0140268
A0FGR9	ESYT3_HUMAN	GO:0005509; GO:0005544; GO:0005789; GO:0005887; GO:0006869; GO:0008429; GO:0031210; GO:0031227; GO:0031234; GO:0035091; GO:0044232; GO:0061817; GO:0140268
A0JLT2	MED19_HUMAN	GO:0003712; GO:0005634; GO:0016592; GO:0032968; GO:0045944; GO:0051123; GO:0060261; GO:0070847
A0JNW5	UH1BL_HUMAN	GO:0005769; GO:0005829; GO:0042803; GO:0062069
A0JP26	POTB3_HUMAN	
A0M8Q6	IGLC7_HUMAN	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006910; GO:0006911; GO:0006958; GO:0009897; GO:0034987; GO:0042571; GO:0042742; GO:0045087; GO:0050853; GO:0050871; GO:0071735; GO:0071738; GO:0071742; GO:0071745; GO:0071753
A0MZ66	SHOT1_HUMAN	GO:0005737; GO:0005874; GO:0005875; GO:0006930; GO:0007265; GO:0007409; GO:0015630; GO:0019894; GO:0030027; GO:0030175; GO:0030424; GO:0030426; GO:0031252; GO:0032488; GO:0038007; GO:0042802; GO:0043204; GO:0044295; GO:0045296; GO:0045773; GO:0048471; GO:0048812; GO:0051015; GO:0060327; GO:0061163; GO:0061573; GO:2000114; GO:2001224
A0PJK1	SC5AA_HUMAN	GO:0005412; GO:0005886; GO:0006814; GO:0008645; GO:0015370; GO:0016021; GO:0070062
A0PJY2	FEZF1_HUMAN	GO:0000978; GO:0001227; GO:0003700; GO:0005654; GO:0005829; GO:0006357; GO:0007411; GO:0008285; GO:0021772; GO:0021797; GO:0043697; GO:0045666; GO:0045893; GO:0046872; GO:0050767; GO:1904936
A0PK00	T120B_HUMAN	GO:0005637; GO:0016020; GO:0016021; GO:0045444; GO:0051291
A0PK11	CLRN2_HUMAN	GO:0007605; GO:0016021; GO:0032421; GO:0060088; GO:0060171; GO:0120045
A1A4S6	RHG10_HUMAN	GO:0005096; GO:0005829; GO:0005886; GO:0007010; GO:0007165; GO:0043066; GO:0048471; GO:0051056
A1A4Y4	IRGM_HUMAN	GO:0000045; GO:0000139; GO:0000421; GO:0001891; GO:0001934; GO:0003924; GO:0005525; GO:0005739; GO:0005789; GO:0005794; GO:0005829; GO:0006952; GO:0006954; GO:0010508; GO:0010800; GO:0019901; GO:0030670; GO:0031648; GO:0033138; GO:0035458; GO:0042742; GO:0042995; GO:0043254; GO:0043539; GO:0045087; GO:0050700; GO:0050821; GO:0050829; GO:0051434; GO:0060335; GO:0061635; GO:0061739; GO:0061762; GO:0070431; GO:0071222; GO:0071902; GO:0098586; GO:1901098
A1A519	F170A_HUMAN	GO:0003677; GO:0005634; GO:0006366; GO:0009566; GO:0045893; GO:0046872
A1A5B4	ANO9_HUMAN	GO:0005229; GO:0005254; GO:0005886; GO:0006629; GO:0006821; GO:0016021; GO:0017128; GO:0034220; GO:0051649; GO:0055085; GO:0061589; GO:0061590; GO:0061591; GO:1902476; GO:1902939
A1A5C7	S22AN_HUMAN	GO:0005886; GO:0006811; GO:0016021; GO:0022857
A1E959	ODAM_HUMAN	GO:0001934; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006954; GO:0010628; GO:0031214; GO:0032956; GO:0042475; GO:0043547; GO:0060054; GO:0071944; GO:0072686; GO:0099512
A1KXE4	F168B_HUMAN	GO:0005886; GO:0016021; GO:0030424; GO:0048471; GO:0070062
A1KZ92	PXDNL_HUMAN	GO:0004519; GO:0004601; GO:0005615; GO:0005783; GO:0005886; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825
A1L0T0	HACL2_HUMAN	GO:0000287; GO:0001561; GO:0003984; GO:0005789; GO:0005948; GO:0009097; GO:0009099; GO:0016020; GO:0016021; GO:0016829; GO:0030976; GO:0050660
A1L167	U2QL1_HUMAN	GO:0000209; GO:0005524; GO:0005634; GO:0005654; GO:0005886; GO:0061631
A1L190	SYCE3_HUMAN	GO:0000801; GO:0005634; GO:0005694; GO:0006915; GO:0007130; GO:0007131; GO:0007283; GO:0035234; GO:0043065; GO:0051094; GO:0051301; GO:2000243
A1L390	PKHG3_HUMAN	GO:0003779; GO:0005085; GO:0005829; GO:0005856; GO:0030334; GO:0051056; GO:2000114
A1L3X0	ELOV7_HUMAN	GO:0005783; GO:0005789; GO:0006636; GO:0009922; GO:0019367; GO:0030148; GO:0030176; GO:0034625; GO:0034626; GO:0035338; GO:0042761; GO:0102336; GO:0102756
A1L4H1	SRCRL_HUMAN	GO:0001968; GO:0005044; GO:0005615; GO:0005737; GO:0006952; GO:0016020; GO:0031012; GO:0032717; GO:0042494; GO:0043236; GO:0045087; GO:0050829; GO:0050830; GO:0050840; GO:0062023
A1L4K1	FSD2_HUMAN	GO:0005634; GO:0016529; GO:0048471
A1X283	SPD2B_HUMAN	GO:0001501; GO:0001654; GO:0002102; GO:0005737; GO:0006801; GO:0007507; GO:0010314; GO:0016176; GO:0022617; GO:0030154; GO:0032266; GO:0042169; GO:0042554; GO:0042995; GO:0060348; GO:0060612; GO:0070161; GO:0071800; GO:0072657; GO:0080025
A1XBS5	CBAR1_HUMAN	GO:0005543; GO:0005634; GO:0005737; GO:0005743; GO:0005814; GO:0007007; GO:0019898; GO:0030061; GO:0035108; GO:0035869; GO:0036064; GO:0045880; GO:0060271; GO:0061024; GO:0097546; GO:0097749
A1Z1Q3	MACD2_HUMAN	GO:0005634; GO:0005654; GO:0005730; GO:0006974; GO:0007420; GO:0009617; GO:0016798; GO:0019213; GO:0042278; GO:0051725; GO:0140291; GO:0140293
A2A288	ZC12D_HUMAN	GO:0000932; GO:0003729; GO:0004521; GO:0005634; GO:0005654; GO:0005737; GO:0006402; GO:0030308; GO:0036464; GO:0046872; GO:0061158; GO:0090502; GO:2000134
A2A2Y4	FRMD3_HUMAN	GO:0005856; GO:0008092; GO:0016021; GO:0031032
A2IDD5	CCD78_HUMAN	GO:0003009; GO:0005737; GO:0005814; GO:0016529; GO:0030030; GO:0042383; GO:0048471; GO:0098535; GO:0098536
A2PYH4	HFM1_HUMAN	GO:0000712; GO:0003676; GO:0003678; GO:0005524; GO:0005634; GO:0016887
A2RRP1	NBAS_HUMAN	GO:0000149; GO:0000956; GO:0005783; GO:0005789; GO:0005829; GO:0006890; GO:0015031; GO:0016020; GO:0070939; GO:2000623
A2RTX5	SYTC2_HUMAN	GO:0004829; GO:0005524; GO:0005634; GO:0005737; GO:0006435; GO:0042802
A2RU14	TM218_HUMAN	GO:0005929; GO:0016021
A2RU30	TESP1_HUMAN	GO:0005102; GO:0005737; GO:0005789; GO:0005829; GO:0008104; GO:0008180; GO:0010387; GO:0033077; GO:0033089; GO:0036398; GO:0036399; GO:0043274; GO:0050862
A2RU49	HYKK_HUMAN	GO:0005759; GO:0006554; GO:0016310; GO:0019202; GO:0047992
A2RUB1	MEIOC_HUMAN	GO:0005634; GO:0005737; GO:0006302; GO:0007130; GO:0007141; GO:0007144; GO:0007286; GO:0048255; GO:0048599; GO:0051310; GO:0051729; GO:0070192
A2RUB6	CCD66_HUMAN	GO:0001578; GO:0001750; GO:0001895; GO:0001917; GO:0005813; GO:0005829; GO:0005874; GO:0005929; GO:0008017; GO:0030054; GO:0034451; GO:0036064; GO:0042803; GO:0050908; GO:0060271; GO:0090543; GO:1903564
A2RUC4	TYW5_HUMAN	GO:0000049; GO:0005506; GO:0005737; GO:0016706; GO:0031591; GO:0042803; GO:0102524
A2RUH7	MBPHL_HUMAN	GO:0001701; GO:0030017; GO:0036379
A2VDJ0	T131L_HUMAN	GO:0005737; GO:0005783; GO:0005886; GO:0016020; GO:0016021; GO:0016055; GO:0033088; GO:0090090
A2VEC9	SSPO_HUMAN	GO:0005615; GO:0005887; GO:0007155; GO:0007399; GO:0030154; GO:0030414; GO:0031012; GO:0098797
A3KMH1	VWA8_HUMAN	GO:0005524; GO:0005737; GO:0005739; GO:0005777; GO:0016887
A4D0S4	LAMB4_HUMAN	GO:0005201; GO:0005576; GO:0009887; GO:0009888; GO:0016477; GO:0034446; GO:0043256; GO:0070831
A4D126	ISPD_HUMAN	GO:0005829; GO:0007411; GO:0008299; GO:0035269; GO:0042803; GO:0047349; GO:0070567
A4D161	F221A_HUMAN	
A4D1B5	GSAP_HUMAN	GO:0001540; GO:0005802; GO:0030162; GO:1902004
A4D1E9	GTPBA_HUMAN	GO:0000287; GO:0003723; GO:0003924; GO:0005525; GO:0005694; GO:0005730; GO:0005739; GO:0042254
A4D1P6	WDR91_HUMAN	GO:0005829; GO:0031313; GO:0031901; GO:0031902; GO:0035014; GO:0042176; GO:0043551; GO:0045022
A4D1T9	PRS37_HUMAN	GO:0001669; GO:0004252; GO:0005576; GO:0005634; GO:0005737; GO:0006508; GO:0007339; GO:0008354; GO:0016477; GO:0043231; GO:0051604; GO:0070613; GO:1905516; GO:2000344
A4D256	CC14C_HUMAN	GO:0000226; GO:0000922; GO:0004722; GO:0004725; GO:0005730; GO:0005737; GO:0005789; GO:0005813; GO:0006470; GO:0007096; GO:0008138; GO:0016021; GO:0017018; GO:0032467; GO:0060271; GO:0072686
A4D2B0	MBLC1_HUMAN	GO:0004521; GO:0005634; GO:0005737; GO:0005829; GO:0008334; GO:0031124; GO:0046872; GO:1900087
A4D2B8	PM2P1_HUMAN	GO:0006298; GO:0016301; GO:0016310; GO:0016446; GO:0016887; GO:0032300; GO:0032389; GO:0140664
A4GXA9	EME2_HUMAN	GO:0000712; GO:0003677; GO:0004519; GO:0006302; GO:0031297; GO:0031573; GO:0043596; GO:0048476; GO:1905347
A4UGR9	XIRP2_HUMAN	GO:0003281; GO:0007015; GO:0030018; GO:0045216; GO:0051015; GO:0051393; GO:0055008; GO:0070161
A5D8T8	CL18A_HUMAN	GO:0005615; GO:0005768; GO:0005783; GO:0005794; GO:0030247
A5D8V6	VP37C_HUMAN	GO:0000813; GO:0006612; GO:0006623; GO:0010008; GO:0016236; GO:0031902; GO:0036258; GO:0039702; GO:0043162; GO:0043328; GO:0048306; GO:0070062; GO:0090148
A5D8V7	ODAD3_HUMAN	GO:0003341; GO:0005576; GO:0005814; GO:0005929; GO:0005930; GO:0007283; GO:0007368; GO:0007420; GO:0030317; GO:0035253; GO:0035264; GO:0036064; GO:0036158; GO:0060287; GO:0061371; GO:0090660; GO:0097542; GO:0120228; GO:1902017
A5D8W1	CFA69_HUMAN	GO:0005737; GO:0007288; GO:0007608; GO:0030317; GO:0042048; GO:0097225; GO:0097730; GO:1902093; GO:1905516; GO:1990834
A5LHX3	PSB11_HUMAN	GO:0004175; GO:0004298; GO:0005634; GO:0005829; GO:0005839; GO:0006508; GO:0008233; GO:0010498; GO:0019774; GO:0033077; GO:0043374
A5PKW4	PSD1_HUMAN	GO:0005085; GO:0005543; GO:0007165; GO:0031175; GO:0032012; GO:0032154; GO:0032587; GO:0043197; GO:0098999; GO:0099092
A5PLL7	PDES1_HUMAN	GO:0005783; GO:0005789; GO:0006631; GO:0008611; GO:0016021; GO:0016491; GO:0050207
A5PLN9	TPC13_HUMAN	GO:0005737; GO:0005829; GO:0006888; GO:0006901; GO:0099022; GO:1990071; GO:1990072
A5X5Y0	5HT3E_HUMAN	GO:0004888; GO:0005231; GO:0005886; GO:0005887; GO:0007165; GO:0007210; GO:0007268; GO:0022850; GO:0030594; GO:0034220; GO:0042391; GO:0043005; GO:0045202; GO:0050877; GO:0098662; GO:1904315; GO:1904602
A5YKK6	CNOT1_HUMAN	GO:0000122; GO:0000288; GO:0000289; GO:0000932; GO:0001829; GO:0003723; GO:0005615; GO:0005634; GO:0005778; GO:0005829; GO:0010606; GO:0016020; GO:0017148; GO:0019904; GO:0030014; GO:0030015; GO:0030331; GO:0033147; GO:0035195; GO:0042974; GO:0048387; GO:0060090; GO:0060213; GO:0061014; GO:0070016; GO:0090503; GO:1900153; GO:2000036
A5YM72	CRNS1_HUMAN	GO:0005524; GO:0005829; GO:0006548; GO:0016887; GO:0035499; GO:0046872; GO:0047730; GO:0102102
A6BM72	MEG11_HUMAN	GO:0010842; GO:0016021; GO:0016323; GO:0034109
A6H8Y1	BDP1_HUMAN	GO:0000126; GO:0001156; GO:0005654; GO:0070898
A6H8Z2	F221B_HUMAN	
A6NC98	CC88B_HUMAN	GO:0001819; GO:0005654; GO:0005737; GO:0005783; GO:0005794; GO:0005813; GO:0005829; GO:0008017; GO:0016020; GO:0030705; GO:0031122; GO:0042102; GO:0042832; GO:0050870; GO:0051959
A6NCS4	NKX26_HUMAN	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008284; GO:0021854; GO:0030154; GO:0030855; GO:0035050; GO:0043066; GO:0043586; GO:0045944; GO:0048565; GO:0050673; GO:0050679; GO:0055014; GO:0055015; GO:0060037; GO:0060039; GO:1904019; GO:1904036
A6ND01	JUNO_HUMAN	GO:0005576; GO:0005886; GO:0007155; GO:0007338; GO:0007342; GO:0031362; GO:0035036; GO:0038023
A6ND36	FA83G_HUMAN	GO:0005634; GO:0005829; GO:0007165; GO:0019901; GO:0030509
A6NDB9	PALM3_HUMAN	GO:0001960; GO:0005524; GO:0005737; GO:0005886; GO:0008063; GO:0008360; GO:0032496
A6NDE4	RBY1B_HUMAN	GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0005730; GO:0006397; GO:0007283; GO:0008380; GO:0008584; GO:0048026
A6NDG6	PGP_HUMAN	GO:0000121; GO:0000287; GO:0004725; GO:0005737; GO:0006114; GO:0006650; GO:0008967; GO:0016791; GO:0035335; GO:0043136; GO:0045721
A6NDV4	TMM8B_HUMAN	GO:0005634; GO:0005739; GO:0005783; GO:0005886; GO:0007160; GO:0007346; GO:0009986; GO:0016021
A6NED2	RCCD1_HUMAN	GO:0005694; GO:0005829; GO:0005886; GO:0006325
A6NEM1	GG6L9_HUMAN	
A6NFA1	TIKI2_HUMAN	GO:0004222; GO:0005887; GO:0006508; GO:0016020; GO:0016055; GO:0017147; GO:0030178; GO:0031301; GO:0031334; GO:0046872; GO:1904808
A6NFQ2	TCAF2_HUMAN	GO:0005886; GO:0010359; GO:0010360; GO:0030054; GO:0030335; GO:0044325; GO:0090314
A6NFX1	MFS2B_HUMAN	GO:0003376; GO:0005887; GO:0006869; GO:0008643; GO:0015293; GO:0046624; GO:0071702; GO:1901731
A6NFY7	SDHF1_HUMAN	GO:0005654; GO:0005739; GO:0005759; GO:0034553
A6NGG8	PCARE_HUMAN	GO:0001750; GO:0001917; GO:0005929; GO:0007601; GO:0035845; GO:0050896; GO:0120199; GO:1903546
A6NGQ2	OOEP_HUMAN	GO:0003723; GO:0005634; GO:0005737; GO:0005938; GO:0007015; GO:0009880; GO:0031297; GO:0032880; GO:0032991; GO:0035088; GO:0045179; GO:0045836; GO:0051293; GO:0051302; GO:0070201; GO:0106333; GO:1905168; GO:2000781
A6NGU5	GGT3_HUMAN	GO:0002682; GO:0005886; GO:0006508; GO:0006750; GO:0006751; GO:0016021; GO:0031179; GO:0036374; GO:0050727; GO:0070062; GO:0102953; GO:0103068; GO:1901750
A6NHR9	SMHD1_HUMAN	GO:0001740; GO:0003677; GO:0005524; GO:0006302; GO:0009048; GO:0016887; GO:0035861; GO:0042803; GO:0043584; GO:0045739; GO:0060820; GO:2000042; GO:2001034
A6NI15	MSGN1_HUMAN	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001707; GO:0001756; GO:0003682; GO:0005634; GO:0006357; GO:0007379; GO:0030154; GO:0046983; GO:1990837
A6NI61	MYMK_HUMAN	GO:0005886; GO:0005887; GO:0007517; GO:0007520; GO:0014905; GO:0030173; GO:0045026; GO:1904206
A6NI73	LIRA5_HUMAN	GO:0005576; GO:0005615; GO:0005886; GO:0009986; GO:0016021; GO:0019221; GO:0032396; GO:0032695; GO:0032696; GO:0032731; GO:0032733; GO:0032755; GO:0032760; GO:0043410; GO:0045087; GO:0050729; GO:0050867; GO:0051928; GO:0061098
A6NIH7	U119B_HUMAN	GO:0005829; GO:0005929; GO:0007399; GO:0008289; GO:0035869; GO:0042953; GO:0060271
A6NIX2	WTIP_HUMAN	GO:0000932; GO:0001666; GO:0003714; GO:0005634; GO:0005667; GO:0005912; GO:0006355; GO:0007010; GO:0022604; GO:0030030; GO:0035195; GO:0035331; GO:0046872; GO:2000637
A6NJ46	NKX63_HUMAN	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001709; GO:0005634; GO:0006357; GO:0030154; GO:0030857; GO:0035883; GO:0043565; GO:0045944; GO:1990837
A6NJ78	MET15_HUMAN	GO:0005739; GO:0005759; GO:0070475; GO:0071424
A6NK06	IRG1_HUMAN	GO:0002760; GO:0005739; GO:0006952; GO:0006954; GO:0007566; GO:0032088; GO:0032480; GO:0034136; GO:0034144; GO:0035458; GO:0042803; GO:0045824; GO:0047613; GO:0050728; GO:0051607; GO:0071219; GO:0071222; GO:0071346; GO:0071347; GO:0071356; GO:0071393; GO:0072573; GO:2000379
A6NK58	LIPT2_HUMAN	GO:0005739; GO:0005759; GO:0009249; GO:0016874; GO:0019752; GO:0033819; GO:2000376
A6NK89	RASFA_HUMAN	GO:0000922; GO:0005815; GO:0005829; GO:0007165; GO:0007399; GO:0050769; GO:2000179
A6NKB5	PCX2_HUMAN	GO:0016021
A6NL88	SHSA7_HUMAN	GO:0007214; GO:0007613; GO:0014069; GO:0032281; GO:0032591; GO:0035255; GO:0045211; GO:0048172; GO:0050811; GO:0070161; GO:0097112; GO:0098839; GO:0098962; GO:0098985; GO:0099060; GO:0106040; GO:1900273; GO:1904717; GO:2000311
A6NMY6	AXA2L_HUMAN	GO:0001786; GO:0002020; GO:0005262; GO:0005509; GO:0005544; GO:0005546; GO:0005604; GO:0005615; GO:0005634; GO:0005886; GO:0008092; GO:0019834; GO:0031982; GO:0042470; GO:0046790; GO:0070062
A6NMZ7	CO6A6_HUMAN	GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0062023
A6NNB3	IFM5_HUMAN	GO:0001701; GO:0005829; GO:0005886; GO:0005887; GO:0030282; GO:0030500; GO:0043231; GO:0060349
A6NNM8	TTL13_HUMAN	GO:0000226; GO:0005524; GO:0005829; GO:0005874; GO:0005929; GO:0015631; GO:0018095; GO:0046872; GO:0070740
A6NNY8	UBP27_HUMAN	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579; GO:0043065; GO:0045087; GO:0050821; GO:0051607; GO:0060340; GO:0061578; GO:0070536; GO:0071108; GO:1990380
A6NNZ2	TBB8B_HUMAN	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0015630; GO:0045171; GO:0070062; GO:0072686
A6PVC2	TTLL8_HUMAN	GO:0003341; GO:0005524; GO:0005829; GO:0005874; GO:0005929; GO:0005930; GO:0015630; GO:0018094; GO:0030317; GO:0036126; GO:0046872; GO:0060271; GO:0070735; GO:0070736
A7E2V4	ZSWM8_HUMAN	GO:0005829; GO:0008270; GO:0016567; GO:0031462; GO:0031463; GO:0043161; GO:1990756; GO:2000627
A7E2Y1	MYH7B_HUMAN	GO:0000146; GO:0005524; GO:0016020; GO:0016460; GO:0032982; GO:0051015
A7KAX9	RHG32_HUMAN	GO:0000139; GO:0001650; GO:0005096; GO:0005654; GO:0005789; GO:0005794; GO:0005829; GO:0005938; GO:0007264; GO:0010008; GO:0014069; GO:0015629; GO:0043197; GO:0051056; GO:0070161; GO:1901981
A7MCY6	TBKB1_HUMAN	GO:0005737; GO:0007249; GO:0046872; GO:0051607; GO:0060337; GO:1902554
A7MD48	SRRM4_HUMAN	GO:0000381; GO:0003729; GO:0005634; GO:0006397; GO:0007399; GO:0007605; GO:0008380; GO:0030154; GO:0042551; GO:0042802; GO:0043484
A7XYQ1	SOBP_HUMAN	GO:0005634; GO:0007605; GO:0007626; GO:0032184; GO:0042472; GO:0046872; GO:0048513; GO:0050890; GO:0090102
A8CG34	P121C_HUMAN	GO:0005635; GO:0005643; GO:0005654; GO:0005789; GO:0006405; GO:0006606; GO:0008139; GO:0016021; GO:0017056; GO:0031965; GO:0051028
A8K0Z3	WASH1_HUMAN	GO:0003779; GO:0005769; GO:0005770; GO:0005776; GO:0005814; GO:0005829; GO:0006887; GO:0010507; GO:0015031; GO:0016197; GO:0022617; GO:0030335; GO:0031274; GO:0031396; GO:0031625; GO:0031901; GO:0032456; GO:0034314; GO:0034315; GO:0042147; GO:0043014; GO:0043015; GO:0043553; GO:0055037; GO:0055038; GO:0071203
A8K2U0	A2ML1_HUMAN	GO:0002020; GO:0004866; GO:0004867; GO:0005615; GO:0030414; GO:0052548; GO:0070062
A8K4G0	CLM7_HUMAN	GO:0002376; GO:0004888; GO:0005886; GO:0016021; GO:0042802
A8K7I4	CLCA1_HUMAN	GO:0004222; GO:0005229; GO:0005254; GO:0005615; GO:0005886; GO:0005887; GO:0005902; GO:0006508; GO:0006816; GO:0034220; GO:0042589; GO:0046872; GO:0071456
A8K830	OCAT2_HUMAN	GO:0005737
A8K8P3	SFI1_HUMAN	GO:0005814; GO:0005829; GO:0019902
A8K8V0	ZN785_HUMAN	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872
A8MPY1	GBRR3_HUMAN	GO:0004890; GO:0005231; GO:0005254; GO:0005886; GO:0005887; GO:0007165; GO:0007214; GO:0007268; GO:0019904; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0070161; GO:1902476; GO:1902711; GO:1904315
A8MQ03	CRTP1_HUMAN	GO:0042802; GO:0070062
A8MQ27	NEU1B_HUMAN	GO:0005769; GO:0005829; GO:0007219; GO:0015629; GO:0046872; GO:0061630; GO:0070086
A8MT69	CENPX_HUMAN	GO:0000712; GO:0000776; GO:0000785; GO:0003677; GO:0005654; GO:0031297; GO:0031398; GO:0036297; GO:0043240; GO:0051301; GO:0051382; GO:0071821
A8MTA8	F166B_HUMAN	GO:0005879
A8MTJ3	GNAT3_HUMAN	GO:0001580; GO:0001664; GO:0001669; GO:0001750; GO:0001917; GO:0003924; GO:0005525; GO:0005834; GO:0005886; GO:0005930; GO:0007188; GO:0016324; GO:0031683; GO:0032991; GO:0035094; GO:0046872; GO:0050916; GO:0050917
A8MTQ0	NOTO_HUMAN	GO:0000785; GO:0000978; GO:0000981; GO:0001947; GO:0005634; GO:0006357; GO:0007417; GO:0009880; GO:0009953; GO:0030182; GO:0030903; GO:0044458; GO:1902017; GO:1990837
A8MTZ0	BBIP1_HUMAN	GO:0005737; GO:0005829; GO:0015031; GO:0034464; GO:0042755; GO:0060170; GO:0060271; GO:0097500
A8MU46	SMTL1_HUMAN	GO:0005516; GO:0005523; GO:0005634; GO:0005737; GO:0005815; GO:0008157; GO:0009410; GO:0014823; GO:0018105; GO:0030036; GO:0031430; GO:0031674; GO:0031941; GO:0042310; GO:0043292; GO:0043621; GO:0045892; GO:0045907; GO:0048644; GO:0051401; GO:0097718
A8MUP2	CSKMT_HUMAN	GO:0005739; GO:0006479; GO:0016278; GO:0016279; GO:0018023; GO:0018026; GO:0018027
A8MV65	VGLL3_HUMAN	GO:0005634; GO:0006357
A8MVW5	HECA2_HUMAN	GO:0000139; GO:0005654; GO:0005794; GO:0005813; GO:0005819; GO:0007098; GO:0016021; GO:0030496; GO:0043231; GO:0051301; GO:0072686
A8MW95	BECN2_HUMAN	GO:0000045; GO:0000407; GO:0006914; GO:0006995; GO:0008333; GO:0034271; GO:0034272; GO:0042593; GO:0044877; GO:0045324; GO:1990172
A8MW99	MEI4_HUMAN	GO:0000800; GO:0006310; GO:0007129; GO:0007283; GO:0042138; GO:0048477
A8MWX3	WASH4_HUMAN	GO:0003779; GO:0005769; GO:0005829; GO:0006887; GO:0016197; GO:0031901; GO:0032456; GO:0034314; GO:0034315; GO:0042147; GO:0043014; GO:0043015; GO:0055037; GO:0055038; GO:0071203
A8MXD5	GRCR1_HUMAN	GO:0005902; GO:0007605; GO:0032420; GO:0042491; GO:0048563; GO:0060091; GO:0060118; GO:0060119; GO:0060122; GO:0097573
A8MXV4	NUD19_HUMAN	GO:0000287; GO:0005782; GO:0005829; GO:0009062; GO:0010945; GO:0015938; GO:0036114; GO:0044580; GO:0106399; GO:1901289; GO:1902858; GO:2001294
A8MYU2	KCNU1_HUMAN	GO:0005244; GO:0005267; GO:0005886; GO:0016021; GO:0022414; GO:0034765
A8MZ59	LEUTX_HUMAN	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357
A8TX70	CO6A5_HUMAN	GO:0005576; GO:0005581; GO:0007155; GO:0030020; GO:0030198; GO:0062023
